type,long_name,medium,short,scope,activist
Activism,AAA Active,AAA Activ,AAA,Public,True
Activism,AAA House Party,AAA House,Hou,Public,False
Activism,AAA Initiative,AAA,AAA,Public,True
Activism,AAA Training,AAA Train,AAA,Public,False
Activism,AAA Website,AAA Websi,AAA,Public,False
Activism,AAAPetCircNEW,APCNew,APC,Public,True
Activism,AAAPetitionCirculato,AAAPet,Ape,Public,True
Activism,StateCommittee2025,StComm25,StC,Public,False
Activist,26Student,26Student,Stu,Public,True
Activist,Newly Engaged,New,New,Public,False
Activist,Pima County 2024 PC,Pima24PC,24P,Public,True
Activist,Tabling Sign-Up,Tabling,Tab,Public,False
Administrative,18PACsummerstaff,18PACsumm,18P,Private,False
Administrative,2016 Canvassers,2016 Canv,201,Private,False
Administrative,2017 updated media l,2017 upda,201,Private,False
Administrative,2020PACSummerStaff,2020PACSu,202,Private,False
Administrative,2021-2022 PAC Staff,21-22Staf,21,Private,False
Administrative,AVANQuestion,AVANQuest,AVA,Private,False
Administrative,AZ List Staff,AZ List S,AZ,Private,False
Administrative,Board Mem.,Board Mem,Boa,Private,False
Administrative,Bridget Target,Bridget T,Bri,Private,False
Administrative,Carrie Aaron target,Carrie Aa,Car,Private,False
Administrative,Charter,Charter,Cha,Private,False
Administrative,DemClubOrg,DemClubOr,Dem,Private,False
Administrative,DONOTEMAIL,DONOTEMAI,DON,Public,False
Administrative,E Danielson target,E Daniels,E D,Private,False
Administrative,Former Board Member,Former Bo,For,Private,False
Administrative,Former Staff,Former St,For,Private,False
Administrative,HDNeedsResearch,HDNeedsRe,HDN,Private,False
Administrative,HDNotforCT,HDNotforC,HDN,Private,False
Administrative,HDResearchComplete,HDResearc,HDR,Private,False
Administrative,Hildy target,Hildy tar,Hil,Private,False
Administrative,HonoraryBo,HonoraryB,Hon,Private,False
Administrative,Intern,Intern,Int,Private,False
Administrative,M Wachter target,M Wachter,M W,Private,False
Administrative,Media,Media,Med,Private,False
Administrative,Media NEW 11-3-17,Media NEW,Med,Private,False
Administrative,NO Share,NO Share,NO,Private,False
Administrative,Online,Online,Onl,Private,False
Administrative,Pam Target,Pam Targe,Pam,Private,False
Administrative,Pat Wiedhopf target,Pat Wiedh,Pat,Private,False
Administrative,Recurring,Recurring,Rec,Private,False
