type,long_name,medium,short,scope,activist
Activism,AAA Active,AAA Activ,AAA,Public,1
Activism,AAA House Party,AAA House,Hou,Public,0
Activism,AAA Initiative,AAA,AAA,Public,1
Activism,AAA Training,AAA Train,AAA,Public,0
Activism,AAA Website,AAA Websi,AAA,Public,0
Activism,AAAPetCircNEW,APCNew,APC,Public,1
Activism,AAAPetitionCirculato,AAAPet,Ape,Public,1
Activism,StateCommittee2025,StComm25,StC,Public,0
Activist,26Student,26Student,Stu,Public,1
Activist,Newly Engaged,New,New,Public,0
Activist,Pima County 2024 PC,Pima24PC,24P,Public,1
Activist,Tabling Sign-Up,Tabling,Tab,Public,0
Administrative,18PACsummerstaff,18PACsumm,18P,Private,0
Administrative,2016 Canvassers,2016 Canv,201,Private,0
Administrative,2017 updated media l,2017 upda,201,Private,0
Administrative,2020PACSummerStaff,2020PACSu,202,Private,0
Administrative,2021-2022 PAC Staff,21-22Staf,21,Private,0
Administrative,AVANQuestion,AVANQuest,AVA,Private,0
Administrative,AZ List Staff,AZ List S,AZ,Private,0
Administrative,Board Mem.,Board Mem,Boa,Private,0
Administrative,Bridget Target,Bridget T,Bri,Private,0
Administrative,Carrie Aaron target,Carrie Aa,Car,Private,0
Administrative,Charter,Charter,Cha,Private,0
Administrative,DemClubOrg,DemClubOr,Dem,Private,0
Administrative,DONOTEMAIL,DONOTEMAI,DON,Public,0
Administrative,E Danielson target,E Daniels,E D,Private,0
Administrative,Former Board Member,Former Bo,For,Private,0
Administrative,Former Staff,Former St,For,Private,0
Administrative,HDNeedsResearch,HDNeedsRe,HDN,Private,0
Administrative,HDNotforCT,HDNotforC,HDN,Private,0
Administrative,HDResearchComplete,HDResearc,HDR,Private,0
Administrative,Hildy target,Hildy tar,Hil,Private,0
Administrative,HonoraryBo,HonoraryB,Hon,Private,0
Administrative,Intern,Intern,Int,Private,0
Administrative,M Wachter target,M Wachter,M W,Private,0
Administrative,Media,Media,Med,Private,0
Administrative,Media NEW 11-3-17,Media NEW,Med,Private,0
Administrative,NO Share,NO Share,NO,Private,0
Administrative,Online,Online,Onl,Private,0
Administrative,Pam Target,Pam Targe,Pam,Private,0
Administrative,Pat Wiedhopf target,Pat Wiedh,Pat,Private,0
Administrative,Recurring,Recurring,Rec,Private,0
Administrative,Research,Research,Res,Private,0
Administrative,Sedona,Sedona,Sed,Private,0
Administrative,Sedona Target,Sedona Ta,Sed,Private,0
Administrative,Send Renewal,Send Rene,Sr,Public,1
Administrative,Temporary,Temp,Tem,Public,0
Administrative,Unsubscrib,Unsubscri,Uns,Private,0
Administrative,Up for Renewal,Renewal,Ren,Public,0
Administrative,VIP,VIP,VIP,Private,0
Administrative,WmnVoteStf,WmnVoteSt,Wmn,Private,0
Administrative,WomenVoteLetterPam,WomenVote,Wom,Private,0
Administrative,YahooUnsub,YahooUnsu,Yah,Private,0
Administrative,YD,YD,YD,Private,0
Administrative,YumaKitchenCabinet,YumaKitch,Yum,Private,0
Candidate,12Endorsed,12Endorse,12E,Private,0
Candidate,14Endorsed,14Endorse,14E,Private,0
Candidate,16Elected,16Elected,16E,Private,0
Candidate,16Endorsed,16Endorse,16E,Private,0
Candidate,16OntheList,16OntheLi,16O,Private,0
Candidate,18Elected,18Elected,18E,Private,0
Candidate,18Endorsed,18Endorse,18E,Private,0
Candidate,18Recommended,18Recomme,18R,Private,0
Candidate,20Endorsed,20Endorse,20E,Private,0
Candidate,20Recommended,20Recomme,20R,Private,0
Candidate,Candidate,Candidate,Can,Private,0
Candidate,Clean,Clean,Cle,Private,0
Candidate,Current Elected,Current E,Cur,Private,0
Candidate,Endorsed,Endorsed,End,Private,0
Candidate,Former Candidate,Former Ca,For,Private,0
Candidate,Former Elected,Former El,For,Private,0
Constituency,13MaricoPC,13MaricoP,13M,Private,0
Constituency,13PetBart,13PetBart,13P,Private,0
Constituency,13PetGun,13PetGun,13P,Private,0
Constituency,13PetiKirk,13PetiKir,13P,Private,0
Constituency,13PetMilt,13PetMilt,13P,Private,0
Constituency,13PetMove,13PetMove,13P,Private,0
Constituency,14Edwards,14Edwards,14E,Private,0
Constituency,14PetSteel,14PetStee,14P,Private,0
Constituency,15PetEdcut,15PetEdcu,15P,Private,0
Constituency,16AZWomenSigners,16AZWomen,16A,Private,0
Constituency,16HillarySigners,16Hillary,16H,Private,0
Constituency,16VoteRightsSigners,16VoteRig,16V,Private,0
Constituency,18MarchforOurLives,18Marchfo,18M,Private,0
Constituency,2012PimaPC,2012PimaP,201,Private,0
Constituency,2016ChoiceSigners,2016Choic,201,Private,0
Constituency,2018 Womens March,2018 Wome,201,Private,0
Constituency,2019PhxWomensMarch,2019PhxWo,201,Private,0
Constituency,5in2012,5in2012,5in,Private,0
Constituency,5n2012NEW,5n2012NEW,5n2,Private,0
Constituency,ADP201106,ADP201106,ADP,Private,0
Constituency,Becskehazy,Becskehaz,Bec,Private,0
Constituency,CathyList9-19,CathyList,Cat,Private,0
Constituency,CD 2 PCs 20160413,CD 2 PCs,CD,Private,0
Constituency,CD1PC20160412,CD1PC2016,CD1,Private,0
Constituency,Demsdotcom,Demsdotco,Dem,Private,0
Constituency,DuVal2emai,DuVal2ema,DuV,Private,0
Constituency,DuValemail,DuValemai,DuV,Private,0
Constituency,DuValNEWAL,DuValNEWA,DuV,Private,0
Constituency,DuValProb2,DuValProb,DuV,Private,0
Constituency,DuValProbN,DuValProb,DuV,Private,0
Constituency,EList 2016,EList 201,ELi,Private,0
Constituency,EList2018,EList2018,ELi,Private,0
Constituency,EListAnnK,EListAnnK,ELi,Private,0
Constituency,Engel,Engel,Eng,Private,0
Constituency,Engel 2021,Engel 202,Eng,Private,0
Constituency,FB11-19to12-16-19,FB11-19to,FB1,Private,0
Constituency,FilingPeti,FilingPet,Fil,Private,0
Constituency,Friese,Friese,Fri,Private,0
Constituency,GallegoEmalLst 11-18,GallegoEm,Gal,Private,0
Constituency,GGdonor,GGdonor,GGd,Private,0
Constituency,GregStantn,GregStant,Gre,Private,0
Constituency,HC,HC,HC,Private,0
Constituency,HMacrelist,HMacrelis,HMa,Private,0
Constituency,HRC 500-999 856-857,HRC 500-9,HRC,Private,0
Constituency,HRC EList or PP,HRC EList,HRC,Private,0
Constituency,HRC1000plus 856-857,HRC1000pl,HRC,Private,0
Constituency,HRC1000up not856-857,HRC1000up,HRC,Private,0
Constituency,HRC250Under 856-857,HRC250Und,HRC,Private,0
Constituency,HRC251to499 856-857,HRC251to4,HRC,Private,0
Constituency,46024,46024,Jan,Private,0
Constituency,46025,46025,Jan,Private,0
Constituency,46026,46026,Jan,Private,0
Constituency,46023,46023,Jan,Private,0
Constituency,JointActionReproRite,JointActi,Joi,Private,0
Constituency,Judy Stahl,Judy Stah,Jud,Private,0
Constituency,Juneteenth 2021 new,Juneteent,Jun,Private,0
Constituency,K Engel,K Engel,K E,Private,0
Constituency,KHobbs20210514,KHobbs202,KHo,Private,0
Constituency,Kirkpatrick 12-2019,Kirkpatri,Kir,Private,0
Constituency,Kristel,Kristel,Kri,Private,0
Constituency,LAlvarez,LAlvarez,LAl,Private,0
Constituency,LaurenKuby,LaurenKub,Lau,Private,0
Constituency,New FB names,New FB na,New,Private,0
Constituency,PC 9-30-13,PC 9-30-1,PC,Private,0
Constituency,Pima Co PC 20171001,Pima Co P,Pim,Private,0
Constituency,PP donor in NGP,PP donor,PP,Private,0
Constituency,PP donors new folks,PP donors,PP,Private,0
Constituency,RCDonor,RCDonor,RCD,Private,0
Constituency,RecruitWomen,RecruitWo,Rec,Private,0
Constituency,RGdonor,RGdonor,RGd,Private,0
Constituency,Rotellini,Rotellini,Rot,Private,0
Constituency,Run for Something,Run for S,Run,Private,0
Constituency,Saguaro Import 2,Saguaro I,Sag,Private,0
Constituency,Saguaroupload1,Saguaroup,Sag,Private,0
Donor,17MatchDonors,17MatchDo,17M,Private,0
Donor,18MatchDonor,18MatchDo,18M,Private,0
Donor,19LCPin,19LCPin,19L,Private,0
Donor,19MatchDonor,19MatchDo,19M,Private,0
Donor,2015 Match,2015 Matc,201,Private,0
Donor,2024MatchDonor,24Match,24M,Public,0
Donor,20LCPin,20LCPin,20L,Private,0
Donor,21SDPin,21SDPin,21S,Private,0
Donor,AAADonor,AAADonor,139,Public,0
Donor,AAADonorAZ50+,AAAAZ50+,50+,Public,0
Donor,AAADonorAZLow,AAAAZLow,AZL,Public,0
Donor,AAADonorUS100+,AAAUS100+,10+,Public,0
Donor,AAADonorUSLow,USLow,Low,Public,0
Donor,Major Donor Prospect,MjrDnr,MD,Public,0
Email Interests,All emails,Allemails,All,Private,0
Email Interests,Once a month,Oncemonth,1mt,Private,0
Email Interests,Urgent Action Only,Urgentonl,Urj,Private,0
Events,14Movie,14Movie,14M,Private,0
Events,16 Phoenix Reception,16 Phoeni,16,Private,0
Events,16SADonor,16SADonor,16S,Private,0
Events,16TucsonLunch,16TucsonL,16T,Private,0
Events,18PrideEvent,18PrideEv,18P,Private,0
Events,2017AnnualEvent,2017Annua,201,Private,0
Events,2018AnnualEvent,2018Annua,201,Private,0
Events,2019AnnualEvent,2019Annua,201,Private,0
Events,2020AnnualEvent,2020Annua,202,Private,0
Events,21Annual Event,21Annual,21A,Private,0
Events,23FlagstaffTBD,23Flagsta,23F,Public,0
Events,23Harkins,23Harkins,23H,Public,0
Events,23Loft,23Loft,23L,Public,0
Events,23Virtual,23Virtual,23V,Public,0
Events,24 April Live,24AprilL,ApL,Public,1
Events,24 April Zoom,24AprilZ,ApZ,Public,1
Events,24Bus,24Bus,24B,Public,1
