id,path,name,created_by,date_created,description
1039245,1st time donor 2023 $100+,1st time donor 2023 $100+,"Quinn, L",2023-10-17,
1021254,2017AnnualEvent,2017AnnualEvent,"Cann, D",2021-10-27,2017 Annual Event attendee
1021253,2018AnnualEvent,2018AnnualEvent,"Cann, D",2021-10-27,2018 Annual Event attendee
1021252,2019AnnualEvent,2019AnnualEvent,"Cann, D",2021-10-27,2019 Annual Event attendee
1021251,2020AnnualEvent,2020AnnualEvent,"Cann, D",2021-10-27,attended 2020 annual event
1048205,2026 Annual Event,2026 Annual Event,"Quinn, L",2026-03-04,
1048206,2026 Annual Event/2026SilentAuctionBidder,2026SilentAuctionBidder,"Quinn, L",2026-03-04,
1021250,21Annual Event,21Annual Event,"Cann, D",2021-10-27,attended 2021 annual event
1021243,21SDPin,21SDPin,"Cann, D",2021-10-27,sustaining donor pin sent in 2021
1043451,AAADonor,AAADonor,"Burkhart, E",2024-12-13,
1021418,AddRecurringCode,AddRecurringCode,"Cann, D",2021-10-27,Add recurring code after TY letter
1021456,Annual Events,Annual Events,"Cann, D",2021-10-27,
1021394,Annual Events/16 Phoenix Reception,16 Phoenix Reception,"Cann, D",2021-10-27,
1021404,Annual Events/16SADonor,16SADonor,"Cann, D",2021-10-27,Silent Auction Donors
1021393,Annual Events/16TucsonLunch,16TucsonLunch,"Cann, D",2021-10-27,
1021445,Annual Events/18PhxSilAucDonor,18PhxSilAucDonor,"Cann, D",2021-10-27,
1037687,Annual Events/2023AnnualEvent,2023AnnualEvent,"Quinn, L",2023-03-22,Attendee or Donor
1038862,Attended Training,Attended Training,"Quinn, L",2023-08-23,
1021296,AVANQuestion,AVANQuestion,"Cann, D",2021-10-27,Attempted VAN linking but can't tell which one Vanbiguous
1021263,AZ List Staff,AZ List Staff,"Cann, D",2021-10-27,Staff Members
1021270,Board Mem,Board Mem,"Cann, D",2021-10-27,Board Members
1021421,Bridget Target,Bridget Target,"Cann, D",2021-10-27,Bridget Riceci Target
1047861,Candidate Committee,Candidate Committee,"Quinn, L",2026-02-13,
1021180,Candidates-Electeds,Candidates-Electeds,"Cann, D",2021-10-27,"Endorsed, Former/Current Electeds, Past Candidates (not elected)"
1021209,Candidates-Electeds/16Elected,16Elected,"Cann, D",2021-10-27,
1021208,Candidates-Electeds/18Elected,18Elected,"Cann, D",2021-10-27,
1021193,Candidates-Electeds/18Recommended,18Recommended,"Cann, D",2021-10-27,2018 Recommended Candidates
1021225,Candidates-Electeds/20Recommended,20Recommended,"Cann, D",2021-10-27,Recommended candidates 2020
1038877,Candidates-Electeds/22Candidate,22Candidate,"Quinn, L",2023-08-25,
1038876,Candidates-Electeds/22Elected,22Elected,"Quinn, L",2023-08-25,
1021285,Candidates-Electeds/Candidate,Candidate,"Cann, D",2021-10-27,Candidate
1021214,Candidates-Electeds/Clean,Clean,"Cann, D",2021-10-27,Running clean
1021428,Candidates-Electeds/Current Elected,Current Elected,"Cann, D",2021-10-27,Elected official
1021362,Candidates-Electeds/Elected Official,Elected Official,"Cann, D",2021-10-27,Elected Official
1021291,Candidates-Electeds/Endorsed,Endorsed,"Cann, D",2021-10-27,Endorsed Candidate
1021389,Candidates-Electeds/Endorsed/12Endorsed,12Endorsed,"Cann, D",2021-10-27,
1021392,Candidates-Electeds/Endorsed/13Endorsed,13Endorsed,"Cann, D",2021-10-27,City Council races in off years
1021311,Candidates-Electeds/Endorsed/14Endorsed,14Endorsed,"Cann, D",2021-10-27,2014 Endorsed Candidate
1021391,Candidates-Electeds/Endorsed/15Endorsed,15Endorsed,"Cann, D",2021-10-27,City Council Races in off years
1021390,Candidates-Electeds/Endorsed/16Endorsed,16Endorsed,"Cann, D",2021-10-27,
1021395,Candidates-Electeds/Endorsed/16OntheList,16OntheList,"Cann, D",2021-10-27,
1021455,Candidates-Electeds/Endorsed/18Endorsed,18Endorsed,"Cann, D",2021-10-27,
1021178,Candidates-Electeds/Endorsed/19Endorsed,19Endorsed,"Cann, D",2021-10-27,
1021207,Candidates-Electeds/Endorsed/20Endorsed,20Endorsed,"Cann, D",2021-10-27,
1021453,Candidates-Electeds/Former Candidate,Former Candidate,"Cann, D",2021-10-27,
1021179,Candidates-Electeds/Former Elected,Former Elected,"Cann, D",2021-10-27,
1021308,Charter,Charter,"Cann, D",2021-10-27,Charter
1045555,County,County,"Quinn, L",2025-08-28,Arizona County
1045556,County/Apache,Apache,"Quinn, L",2025-08-28,
1045557,County/Cochise,Cochise,"Quinn, L",2025-08-28,
1045558,County/Coconino,Coconino,"Quinn, L",2025-08-28,
1045559,County/Gila,Gila,"Quinn, L",2025-08-28,
1045560,County/Graham,Graham,"Quinn, L",2025-08-28,
1045561,County/Greenlee,Greenlee,"Quinn, L",2025-08-28,
1045562,County/La Paz,La Paz,"Quinn, L",2025-08-28,
1045563,County/Maricopa,Maricopa,"Quinn, L",2025-08-28,
1045564,County/Mohave,Mohave,"Quinn, L",2025-08-28,
1045565,County/Navajo,Navajo,"Quinn, L",2025-08-28,
1045566,County/Pima,Pima,"Quinn, L",2025-08-28,
1045567,County/Pinal,Pinal,"Quinn, L",2025-08-28,
1045568,County/Santa Cruz,Santa Cruz,"Quinn, L",2025-08-28,
1045569,County/Yavapai,Yavapai,"Quinn, L",2025-08-28,
1045570,County/Yuma,Yuma,"Quinn, L",2025-08-28,
1037490,Darrell Target,Darrell Target,"Quinn, L",2023-02-22,Board member target
1021322,DemClubOrg,DemClubOrg,"Cann, D",2021-10-27,Democratic Club or Organization
1021258,E Danielson target,E Danielson target,"Cann, D",2021-10-27,
1021327,E_SignUp,E_SignUp,"Cann, D",2021-10-27,Email SignUp
